hotelIndex,hotelName,address,rating,latitude,longitude
761,Hotel Empire Inn,"B-91/92, Green wood city , Sector-45, Near Cyber Park",3,28.443064,77.0603
606,Hotel Avtar,"3245, Desh Bandhu Gupta Road, Paharganj",2,28.644258,77.21532
524,Hotel Tourist Lodge,"26, Arakashan Road,  Ramnagar, Paharganj",3,28.645788,77.21739
669,Airport Hotel Sunrise Blue,"Plot no. 112, Street no-3, Mahipalpur Extn., National Highway-08",2,28.548336,77.127014
834,7110 Residency,"7110, DLF Phase 4, Gurgaon",3,28.461687,77.0893
169,Hotel Sunshine Gurgaon,"M-29 Old DLF Colony, Sector -14 (Near State Bank Of India & Motorola Building) ",1,28.471294,77.04415
743,Blooms I,"C-68,Southcity-I,   Near Huda city metro station",3,28.460009,77.0621
806,Hotel Roma Deluxe,"8165, Arakashan Road, Ram Nagar,Pahar Ganj",3,28.645882,77.21596
269,Hotel Star View,"5136/1, Main Bazar, Pahar Ganj, New Delhi",3,28.640594,77.21068
0,Hotel Kwality,"53, Arakashan Road, Pahar Ganj,",2,28.6459,77.21536
531,Hotel Opera,"A 422 Road No 6, Mahipalpur Extension, NH 8, Near IGI Airport",3,28.550617,77.13028
592,Hotel Vishal,"1575/80 main bazar, Paharganj ",3,28.641567,77.21178
223,Prefer Inn,"Plot No 270, Sector 38,   Near Bharat Petrol Pump Baktarwar chowk",2,28.433601,77.047386
706,Chirag Inn,"M-11/13 , DLF City Phase-II , Near DLF Square Tower",2,28.490713,77.08515
757,Hotel Su Shree Continental,"3198/15,  D.B. Gupta Road,  Behind Hotel Revels Paharganj",3,28.644318,77.213165
42,Square 9 Inn,"C9 ,Old DLF, Sector14  Near State Bank of India",3,28.471071,77.04405
541,Hotel Siddharth Plaza,"B-17, Green Wood City, Sector-45",3,28.445034,77.06124
808,Hotel Aerolook,"A-81. Road no. 4,NH 8, Mahipalpur",3,28.549162,77.1288
865,Runway Hotel,"A-48, Road No.2, Mahipalpur Extension",2,28.54724,77.126274
242,Hotel Lal's Haveli,"8892-95 multani dhanda pahar ganj, New Delhi",3,28.646048,77.21127
761,Hotel Empire Inn,"B-91/92, Green wood city , Sector-45, Near Cyber Park",3,28.443064,77.0603
606,Hotel Avtar,"3245, Desh Bandhu Gupta Road, Paharganj",2,28.644258,77.21532
4,Smart Inn Rooms,"L6/3, Dlf Phase II, Near American Public School ",3,28.49137,77.08401
129,Hotel Empire Grand,Plot No. 2015 A Sector 45 Near Hotel Ramada Central,0,28.45097,77.06782
595,Hotel Smart Inn II,"M11A/6, Dlf Phase 2, Behind Dlf Square building ",3,28.49137,77.08401
303,Pacific Inn-Huda City Centre,"Plot No 07, Shrimati Santhosh Yadav Marg,  Near Uniworld City",3,28.455458,77.06524
114,Hotel Noida,"Main Gejha road, Bhangel Sector 110",3,28.536798,77.38649
370,Hotel The Grace,"59-B, Road No.4, A-Block,Mahipalpur Extn, Near Indira Gandhi International Airport",3,28.549618,77.12917
438,The Imperial Inn,"M-10/31, Akash Neem Marg, DLF Phase-II,Gurgaon MG Road",3,28.489166,77.085236
498,Hotel Sun International,"7875 - 79,  Arakashan Road,  Pahar Ganj",3,28.646082,77.21582
851,Maven's House,"750, Sector-15, Part II ",3,28.460842,77.04542
816,Hotel Milan Deluxe,"9012-9014, Desh Bandhu Gupta Road, Pahar Ganj ",3,28.64594,77.21004
6,Hotel Sands Inn,"Plot No.-188, Opp. Devender Vihar, Sector-56",3,28.427711,77.09471
782,Hotel Marina,"A-116/B, Road No.4, Mahipalpur",3,28.549503,77.12968
583,Hotel Baba Inn,"2768-69, 1B, Arakshan Road, Ram Nagar, Pahar Ganj",3,28.645838,77.215935
222,Hotel KNK International,"12A/29, WEA, Saraswati Marg, Karol Bagh",3,28.646921,77.18709
127,Hotel Pink City,"4252 , Krishna Gali Opp New Delhi Railway station Paharganj New Delhi",0,28.642399,77.217995
410,Hotel Toronto New Delhi,"Street No 1 Opposite Pahar Ganj Police Station, Next to Maharashtra Bhawan, Pahar Ganj",3,28.646172,77.20946
471,Blooms II,"1320,  Sec-43, Near Paras Hospital, Oppo. Shalom Hill School",3,28.449114,77.08525
756,Hotel Heritage Home,"1603/4, Main Bazar, Pahar Ganj",3,28.64082,77.21113
841,Hotel Snow White Inn,"2530/7/8 Raj guru Road, Chuna Mandi, Paharganj",3,0,0
351,Hotel Chanchal Continental,"8524, Arakashan Road, Behind Shiela Road",3,28.645945,77.21522
394,Aravali Inn,"C-11/A, Main road Masoodpur, Vasant Kunj",2,28.515972,77.15762
437,Hotel Smart Inn,"M11A/1, Dlf Phase 2, Behind DLF Square building",3,28.49137,77.08401
475,Hotel Crossroads,"Sector-15, Part 2, Near Galaxy Mall",3,28.46803,77.045715
81,Soni Villa,"M-10-31 A DLF Phase-2, Behind DLF Square Building",2,28.491123,77.08516
809,Hotel Vista Inn,"12A/27,  West Extension Area, Saraswati Marg, Karol Bagh ",3,28.647772,77.187515
439,Hotel Redbrick Villa,"Plot no. 575-P, Opposite Sushant Tower, Sector 56 D Block, Sushant Lok - 2",3,28.420212,77.10059
312,Laxmi Villa,"S-46, Uppal Southend, Sohna Road, Sector-49 Near Omaxe Mall",2,28.4098,77.04259
522,Hotel Merry Gold,"1623-24, Raj Guru Road, chuna mandi, paharganj ",3,28.641195,77.211006
173,Cyber Inn,"330/3, Prem Nagar, Bus Stand - Mata Road",3,28.46827,77.03393
315,Metropolis Guest House,"15, Krishna Market, Paharganj ",3,28.640768,77.20971
779,Krishna Coddle Executive,"714 A, Block B, Sushant Lok 1, Gurgaon",2,28.462292,77.079765
